jjamppong, KOREAN
kimchi pancake, KOREAN
ramen, KOREAN
bulgogi, KOREAN
fried chicken, KOREAN
Hoeddeok, KOREAN 
Bulgogi, KOREAN 
Samgyeopsal, KOREAN 
Japchae, KOREAN 
Kimchi, KOREAN 
Ddukbokki, KOREAN 
Sundubu-jjigae, KOREAN 
Bibimbap, KOREAN 
Naengmyeon
Hobakjuk, KOREAN  
Soondae, KOREAN  



pork chop,WESTERN
steak,WESTERN
ribs,WESTERN
fish and chips, WESTERN
pasta,WESTERN 
carbonara,WESTERN
formaggi,WESTERN 
cheesy,WESTERN 
cheese,WESTERN 
sandwich,WESTERN 
burger,WESTERN
truffle,WESTERN
fries,WESTERN
chips,WESTERN
aglio olio,WESTERN 
promodoro,WESTERN 
bolognese,WESTERN 
creamy,WESTERN 
pizza,WESTERN 
salad,WESTERN 



sliced fish,CHINESE
bee hoon,CHINESE
yong tau foo,CHINESE
chicken rice, CHINESE
roasted pork, CHINESE


shabu, JAPANESE
ramen,JAPANESE
sushi,JAPANESE
aburi,JAPANESE
fish,JAPANESE
raw,JAPANESE
poke,JAPANESE
mentaiko,JAPANESE

